"stockId","brand","modelNumber","serialNumber","condition","boxIncluded","papersIncluded","notes","wholesalePriceUSD","paperDate","dialType","braceletType","braceletLinkCount","primaryImage","image2","image3","image4","image5","enableOffers","enableOrders","minimumOffer","shippingMethod","paymentMethod"
"15924","Rolex","136660","113RN008","Pre-owned","false","true","","15500","2024","Non-Numeric Hour Marks","Stainless Steel","","https://swissmadecorp.com/images/rolex-sea-dweller-deep-sea-126660-38781.jpg","","","","","false","false","","",""
"15956","Rolex","69178","L617211","Pre-owned","false","false","","10500","1990","Non-Numeric Hour Marks","President","","https://swissmadecorp.com/images/rolex-datejust-26mm-69178-18k-yellow-gold-womens-watch-mnltvkv38v.jpg","","","","","false","false","","",""
"15983","Rolex","69173","W614216","Pre-owned","false","false","","6500","1988","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-26mm-69173-stainless-steel-womens-watch-HTGT3u7UuL.jpg","","","","","false","false","","",""
"16024","Rolex","16613","A559626","Pre-owned","true","true","","13000","1999","No Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-submariner-40mm-16613-18k-yellow-goldstainless-steel-mens-watch-TZiMISCN1O.jpg","","","","","false","false","","",""
"16027","Rolex","16710","Y871229","Pre-owned","true","true","","17500","2004","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16710-stainless-steel-mens-watch-FRRtxnolaP.jpg","","","","","false","false","","",""
"16060","Rolex","16234","L440245","Pre-owned","false","false","","7000","1991","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16234-stainless-steel-unisex-watch-tgEDhpwtMk.jpg","","","","","false","false","","",""
"16075","Rolex","16233","L981415","Pre-owned","false","false","","7000","1990","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-8Wj0CRcvgy.jpg","","","","","false","false","","",""
"16083","Rolex","69158","R545651","Pre-owned","false","false","","","1988","Non-Numeric Hour Marks","18K Yellow Gold","","https://swissmadecorp.com/images/rolex-datejust-26mm-69158-18k-yellow-gold-womens-watch-KFvU6FZU9U.jpg","https://swissmadecorp.com/images/rolex-datejust-26mm-69158-18k-yellow-gold-womens-watch-DrUu0gLVsK.jpg","https://swissmadecorp.com/images/rolex-datejust-26mm-69158-18k-yellow-gold-womens-watch-7LgeqhWfoU.jpg","","","false","false","","",""
"16130","Franck Muller","1638 B QZ COL DRM V D","10","Unworn","true","true","","9200","","Arabic Numerals","Leather","","https://swissmadecorp.com/images/franck-muller-infinity-oval-color-dreams-335x40mm-1638-b-qz-col-drm-v-d-18k-white-gold-womens-watch-t4Dlk6Y50x.jpg","","","","","false","false","","",""
"16132","Franck Muller","1638 B QZ COL DRM V D","10A","Unworn","true","true","","7200","","Arabic Numerals","Leather","","https://swissmadecorp.com/images/franck-muller-infinity-oval-color-dreams-335x40mm-1638-b-qz-col-drm-v-d-18k-rose-gold-womens-watch-PpTfOFrKf3.jpg","","","","","false","false","","",""
"16133","Franck Muller","1638 B QZ COL DRM V 5N","20","Unworn","true","true","","6200","","Arabic Numerals","Leather","","https://swissmadecorp.com/images/franck-muller-infinity-oval-color-dreams-335x40mm-1638-b-qz-col-drm-v-5n-18k-rose-gold-womens-watch-dshCVk8rvr.jpg","","","","","false","false","","",""
"16137","Franck Muller","1638 B QZ COL DRM V D","18A","Unworn","true","true","","5200","","Arabic Numerals","Leather","","https://swissmadecorp.com/images/franck-muller-infinity-oval-color-dreams-335x40mm-1638-b-qz-col-drm-v-d-18k-rose-gold-womens-watch-5VxoG7Hiir.jpg","","","","","false","false","","",""
"16138","Franck Muller","1638 B QZ COL DRM V D","13","Unworn","true","true","","7800","","Arabic Numerals","Leather","","https://swissmadecorp.com/images/franck-muller-infinity-oval-color-dreams-335x40mm-1638-b-qz-col-drm-v-d-18k-white-gold-womens-watch-t4Dlk6Y50x.jpg","","","","","false","false","","",""
"16142","Rolex","16264","U305613","Pre-owned","false","false","","7500","1998","Roman Numerals","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16264-stainless-steel-mens-watch-nK0AOoL3Gr.jpg","","","","","false","false","","",""
"16289","Rolex","16200","D406320","Pre-owned","false","false","","","2005","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-datejust-36mm-16200-stainless-steel-mens-watch-VIssDXqnDN.jpg","","","","","false","false","","",""
"16304","Rolex","16753","671980","Pre-owned","false","false","","","","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-gmt-master-40mm-16753-18k-yellow-goldstainless-steel-mens-watch-8w9AeRRUKY.jpg","","","","","false","false","","",""
"16420","Rolex","18238","N126465","Pre-owned","false","false","","18500","1990","Non-Numeric Hour Marks","President","","https://swissmadecorp.com/images/rolex-day-date-36mm-18238-18k-yellow-gold-mens-watch-VfrMvIPTXu.jpg","","","","","false","false","","",""
"16423","Rolex","16710","U941493","Pre-owned","false","true","","15500","1999","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16710-stainless-steel-mens-watch-ctEGD1sGF5.jpg","","","","","false","false","","",""
"16426","Rolex","16233","X799926","Pre-owned","false","false","","7500","1991","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-116233-11722.jpg","","","","","false","false","","",""
"16427","Rolex","16233","P781438","Pre-owned","false","false","","7000","1991","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-8Wj0CRcvgy.jpg","","","","","false","false","","",""
"16429","Rolex","16233","X650912","Pre-owned","false","false","","7000","1991","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16233-18k-yellow-goldstainless-steel-mens-watch-LYtfopKKbj.jpg","","","","","false","false","","",""
"16506","Rolex","216570","Z05247U6","Pre-owned","false","true","","9800","2015","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-explorer-ii-216570-48254.jpg","","","","","false","false","","",""
"16518","Rolex","116200","X5200025","Pre-owned","false","false","","7800","2014","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-datejust-116200-37866.jpg","","","","","false","false","","",""
"16534","Rolex","16013","R267387","Pre-owned","false","false","","8000","1988","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16013-18k-yellow-goldstainless-steel-mens-watch-khRPNngZ0R.jpg","","","","","false","false","","",""
"16539","Bulgari/Bvlgari","102036","PO1319","Unworn","true","true","","17500","","Non-Numeric Hour Marks","18K Rose Gold","","https://swissmadecorp.com/images/bulgaribvlgari-catene-31mm-102036-18k-rose-gold-womens-watch-T9cF28YvzX.jpg","","","","","false","false","","",""
"16549","Rolex","16710","P919169","Pre-owned","false","true","","16500","2002","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-gmt-master-ii-16710-17986.jpg","","","","","false","false","","",""
"16600","Rolex","19018","634179","Pre-owned","false","false","","17500","1984","Non-Numeric Hour Marks","18K Yellow Gold","","https://swissmadecorp.com/images/rolex-day-date-oysterquartz-36mm-19018-18k-yellow-gold-mens-watch-fPMJ2jonok.jpg","","","","","false","false","","",""
