id,title,description,link,image_link,availability,expiration_date,price,google_product_category,brand,MPN,identifier_exists,condition,age_group,color,gender,material,shipping,tax
13906,"Rolex Datejust 41mm 126300 Stainless Steel Mens Watch","New / Unworn  Rolex Datejust 41mm 126300 oyster strap, stainless steel bezel, on white roman face watch.",https://swissmadecorp.com/product-details/rolex-datejust-126300-white-roman-erzs-68455,https://swissmadecorp.com/images/rolex-datejust-41mm-126300-stainless-steel-mens-watch-NVa9P8OrCH.jpg,in_stock,,"10815.00 USD",201,Rolex,126300,false,new,adult,"White Roman",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
13907,"Rolex Oyster Perpetual No Date 41mm 124300 Stainless Steel Mens Watch","New / Unworn  Rolex Oyster Perpetual No Date 41mm 124300 oyster strap, stainless steel bezel, on silver face watch.",https://swissmadecorp.com/product-details/rolex-oyster-perpetual-no-date-124300-silver-lkzs-82932,https://swissmadecorp.com/images/rolex-oyster-perpatual-124300-62617.jpg,in_stock,,"9991.00 USD",201,Rolex,124300,false,new,adult,Silver,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14266,"Boucheron Reflet 24x39mm WA009305 18K White Gold Womens Watch","New  Boucheron Reflet 24x39mm WA009305 18k white gold strap, 18k white gold bezel, on diamond face watch.",https://swissmadecorp.com/product-details/boucheron-reflet-wa009305-diamond-kezsz-57850,https://swissmadecorp.com/images/boucheron-reflet-24mmx39mm-wa009305-18k-white-gold-womens-watch-68761.jpg,in_stock,,"77250.00 USD",201,Rolex,WA009305,false,used,adult,Diamond,female,"18K White Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14428,"Rolex Datejust 41mm 126334 Stainless Steel Mens Watch","New / Unworn  Rolex Datejust 41mm 126334 oyster strap, stainless steel bezel, on white roman face watch.",https://swissmadecorp.com/product-details/rolex-datejust-126334-white-roman-kaezs-26523,https://swissmadecorp.com/images/rolex-datejust-41mm-126334-stainless-steel-mens-watch-AJ2NH1Fvmu.jpg,in_stock,,"14420.00 USD",201,Rolex,126334,false,new,adult,"White Roman",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14544,"Rolex Datejust 31mm 278240 Stainless Steel Unisex Watch","New / Unworn  Rolex Datejust 31mm 278240 oyster strap, stainless steel bezel, on dark grey stick face watch.",https://swissmadecorp.com/product-details/rolex-datejust-278240-dark-grey-stick-lzrz-18691,https://swissmadecorp.com/images/rolex-datejust-31mm-278240-stainless-steel-unisex-watch-FtXpE0krWP.jpg,in_stock,,"10043.00 USD",201,Rolex,278240,false,new,adult,"Dark grey stick",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14549,"Rolex Datejust 31mm 278240 Stainless Steel Unisex Watch","New / Unworn  Rolex Datejust 31mm 278240 oyster strap, stainless steel bezel, on dark grey stick face watch.",https://swissmadecorp.com/product-details/rolex-datejust-278240-dark-grey-stick-lzrz-73559,https://swissmadecorp.com/images/rolex-datejust-278240-59504.jpg,out_of_stock,2026-07-28T06:00-0400,"10043.00 USD",201,Rolex,278240,false,new,adult,"Dark grey stick",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14642,"Hermes Arceau Cheval dOrient 41mm 040827WW00 18K White Gold Unisex Watch","Pre-owned  Hermes Arceau Cheval d'Orient 41mm 040827WW00 leather strap, 18k white gold bezel, on black face watch.",https://swissmadecorp.com/product-details/hermes-arceau-cheval-dorient-040827ww00-black-knlzs-48387,https://swissmadecorp.com/images/hermes-arceau-cheval-dorient-41mm-040827ww00-18k-white-gold-unisex-watch-XB6XbSEAAe.jpg,in_stock,,"28222.00 USD",201,Rolex,040827WW00,false,used,adult,Black,female,"18K White Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14835,"Rolex GMT-MASTER II 40mm 16700 Stainless Steel Mens Watch","Pre-owned  Rolex GMTMASTER II 40mm 16700 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16700-black-xirz-85768,https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16700-stainless-steel-mens-watch-TNltAU4uDO.jpg,in_stock,,"14420.00 USD",201,Rolex,16700,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14907,"Rolex Submariner 40mm 16800 Stainless Steel Mens Watch","Pre-owned  Rolex Submariner 40mm 16800 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-submariner-16800-black-rnzs-67006,https://swissmadecorp.com/images/rolex-submariner-16800-11258.jpg,in_stock,,"9785.00 USD",201,Rolex,16800,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14972,"Hermes Cape Cod 37mm CC3.771 18K Rose Gold Womens Watch","Pre-owned  Hermes Cape Cod 37mm CC3.771 leather strap, 18k rose gold bezel, on black face watch.",https://swissmadecorp.com/product-details/hermes-cape-cod-cc3-771-black-lzsz-75059,https://swissmadecorp.com/images/hermes-cape-cod-37mm-cc3771-18k-rose-gold-womens-watch-Vi8ClSiGaL.jpg,in_stock,,"14935.00 USD",201,Rolex,CC3.771,false,used,adult,Black,female,"18K Rose Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
14994,"Rolex Datejust 31mm 68278 18K Yellow Gold Womens Watch","Pre-owned  Rolex Datejust 31mm 68278 18k yellow gold strap, 18k yellow gold bezel, on champagne diamond face watch.",https://swissmadecorp.com/product-details/rolex-datejust-68278-champagne-diamond-kinzs-63429,https://swissmadecorp.com/images/rolex-datejust-31mm-68278-18k-yellow-gold-womens-watch-rFSRn9s0Hk.jpg,in_stock,,"15965.00 USD",201,Rolex,68278,false,used,adult,"Champagne Diamond",female,"18K Yellow Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15191,"Hublot Big Bang 38mm 361.CM.7170.LR.1204 Stainless Steel Unisex Watch","Pre-owned  Hublot Big Bang 38mm 361.CM.7170.LR.1204 leather strap, stainless steel bezel, on blue face watch.",https://swissmadecorp.com/product-details/hublot-big-bang-361-cm-7170-lr-1204-blue-nzsz-24493,https://swissmadecorp.com/images/hublot-big-bang-38mm-361cm7170lr1204-stainless-steel-unisex-watch-58yIujRWex.jpg,in_stock,,"7725.00 USD",201,Rolex,361.CM.7170.LR.1204,false,used,adult,Blue,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15268,"Hermes Galop dHermès 32mm GA!.171 18K Rose Gold Womens Watch","Pre-owned  Hermes Galop d'Hermès 32mm GA!.171 leather strap, 18k rose gold bezel, on mother of pearl face watch.",https://swissmadecorp.com/product-details/hermes-galop-dhermes-ga!-171-mother-of-pearl-grzs-66891,https://swissmadecorp.com/images/hermes-galop-dhermes-32mm-ga171-18k-rose-gold-womens-watch-Z0au4De7UH.jpg,in_stock,,"12360.00 USD",201,Rolex,GA!.171,false,used,adult,"Mother of Pearl",female,"18K Rose Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15439,"Hermes Arceau 38mm AR7.C93 18K White Gold Unisex Watch","Pre-owned  Hermes Arceau 38mm AR7.C93 leather strap, 18k white gold bezel, on blue face watch.",https://swissmadecorp.com/product-details/hermes-arceau-ar7-c93-blue-kzozs-57758,https://swissmadecorp.com/images/hermes-arceau-38mm-ar7c93-18k-white-gold-unisex-watch-nMMI80L21G.jpg,in_stock,,"19055.00 USD",201,Rolex,AR7.C93,false,used,adult,Blue,female,"18K White Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
15459,"Rolex Datejust 36mm 16220 Stainless Steel Mens Watch","Pre-owned  Rolex Datejust 36mm 16220 jubilee strap, stainless steel bezel, on silver face watch.",https://swissmadecorp.com/product-details/rolex-datejust-16220-silver-gnzs-92774,https://swissmadecorp.com/images/rolex-datejust-36mm-16220-stainless-steel-mens-watch-5eUhqFCOdM.jpg,in_stock,,"5974.00 USD",201,Rolex,16220,false,used,adult,Silver,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
