id,title,description,link,image_link,availability,price,google_product_category,brand,MPN,identifier_​exists,condition,age_group,color,gender,material,shipping,tax
10589,"Rolex Daytona 40mm 116520 Stainless Steel Mens Watch","Pre-owned Men's Rolex Daytona 40mm 116520 oyster strap, stainless steel bezel, on black face watch. 10589",https://swissmadecorp.com/product-details/rolex-daytona-116520-black-inzsz-25967,https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg,"in stock","27295.00 USD",201,Rolex,116520,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10590,"Rolex Daytona 40mm 116520 Stainless Steel Mens Watch","Pre-owned Men's Rolex Daytona 40mm 116520 oyster strap, stainless steel bezel, on black face watch. 10590",https://swissmadecorp.com/product-details/rolex-daytona-116520-black-inrzs-63128,https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg,"in stock","26780.00 USD",201,Rolex,116520,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10643,"Rolex Daytona 40mm 116520 Stainless Steel Mens Watch","Pre-owned Men's Rolex Daytona 40mm 116520 oyster strap, stainless steel bezel, on black face watch. 10643",https://swissmadecorp.com/product-details/rolex-daytona-116520-black-igzsz-16229,https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg,"in stock","29355.00 USD",201,Rolex,116520,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10647,"Rolex Daytona 40mm 116520 Stainless Steel Mens Watch","Pre-owned Men's Rolex Daytona 40mm 116520 oyster strap, stainless steel bezel, on black face watch. 10647",https://swissmadecorp.com/product-details/rolex-daytona-116520-black-igzsz-39199,https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg,"in stock","29355.00 USD",201,Rolex,116520,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10660,"Rolex Daytona 40mm 116520 Stainless Steel Mens Watch","Pre-owned Men's Rolex Daytona 40mm 116520 oyster strap, stainless steel bezel, on black face watch. 10660",https://swissmadecorp.com/product-details/rolex-daytona-116520-black-ikrzs-51786,https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg,"in stock","25750.00 USD",201,Rolex,116520,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10810,"Rolex Sky-Dweller 42mm 326934 Stainless Steel Mens Watch","New / Unworn Men's Rolex Sky-Dweller 42mm 326934 oyster strap, stainless steel bezel, on white face watch. 10810",https://swissmadecorp.com/product-details/rolex-sky-dweller-326934-white-kelzs-36166,https://swissmadecorp.com/images/rolex-sky-dweller-326934-18278.jpg,"in stock","22145.00 USD",201,Rolex,326934,false,new,adult,White,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11109,"Hublot Classic Fusion 42mm 542.NE.2010.LR.1204 Titanium Mens Watch","New / Unworn Men's Hublot Classic Fusion 42mm 542.NE.2010.LR.1204 rubber strap, titanium bezel, on white face watch. 11109",https://swissmadecorp.com/product-details/hublot-classic-fusion-542-ne-2010-lr-1204-white-rzsz-75837,https://swissmadecorp.com/images/hublot-classic-fusion-42mm-542ne2010lr1204-titanium-mens-watch-53572.jpg,"in stock","8238.00 USD",201,Rolex,542.NE.2010.LR.1204,false,new,adult,White,female,Titanium,"US:NY:Overnight:79.00 USD",US:NY:8.875:n
11302,"Rolex Datejust 28mm 279175 18K Rose Gold Womens Watch","New / Unworn Women's Rolex Datejust 28mm 279175 president strap, 18k rose gold bezel, on chocolate roman face watch. 11302",https://swissmadecorp.com/product-details/rolex-datejust-279175-chocolate-roman-izezs-74110,https://swissmadecorp.com/images/rolex-datejust-28mm-279175-18k-rose-gold-womens-watch-42460.jpg,"in stock","27295.00 USD",201,Rolex,279175,false,new,adult,"Chocolate Roman",female,"18K Rose Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11482,"Breitling Navitimer 8 43mm AB0117131B1A1 Stainless Steel Mens Watch","New Men's Breitling Navitimer 8 43mm AB0117131B1A1 stainless steel strap, stainless steel bezel, on black face watch. 11482",https://swissmadecorp.com/product-details/breitling-navitimer-8-ab0117131b1a1-black-nono-25715,https://swissmadecorp.com/images/breitling-navitimer-8-43mm-ab0117131b1a1-stainless-steel-mens-watch-97445.jpg,"in stock","5410.00 USD",201,Rolex,AB0117131B1A1,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11483,"Breitling Navitimer 8 43mm AB0117131B1A1 Stainless Steel Mens Watch","New Men's Breitling Navitimer 8 43mm AB0117131B1A1 stainless steel strap, stainless steel bezel, on black face watch. 11483",https://swissmadecorp.com/product-details/breitling-navitimer-8-ab0117131b1a1-black-nono-20227,https://swissmadecorp.com/images/breitling-navitimer-8-43mm-ab0117131b1a1-stainless-steel-mens-watch-97445.jpg,"in stock","5410.00 USD",201,Rolex,AB0117131B1A1,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
